park,year,PTP,species,sex,number,survey_class,ecoregion,latitude,longitude,plot,transect,point,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,elev_m,jdate,radius,sound,obsnum
KATM,2006,172900203,ROPT,M,1,FIVE,AP,58.72205727,-153.9988786,17290,2,3,0.0,0.0,0.0,0.048076923,0.0,0.0,0.0,0.951923077,817.0381714,153,150.0,0.0,1
KATM,2005,175250116,ROPT,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
KATM,2005,175250116,ROPT,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
KATM,2005,175250116,ROPT,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
KATM,2005,175250116,SAVS,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
KATM,2005,187170101,SAVS,M,1,FIVE,AP,59.09992184,-155.3078157,18717,1,1,0.006349206,0.0,0.073015873,0.920634921,0.0,0.0,0.0,0.0,407.7582316,135,50.0,0.0,2
KATM,2005,175250116,SAVS,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
KATM,2005,175250116,WIPT,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
KATM,2005,175250116,WIPT,M,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
LACL,2004,208750403,DEJU,M,1,FIVE,LH,60.03061468,-154.5848232,20875,4,3,0.0,0.0,0.336507937,0.0,0.025396825,0.111111111,0.526984127,0.0,336.1944,139,150.0,0.0,1
LACL,2006,204060202,FOSP,M,1,FIVE,AR,60.01590771,-152.8626473,20406,2,2,0.0,0.0,0.965189873,0.0,0.0,0.0,0.034810127,0.0,316.97676,155,150.0,0.0,1
LACL,2006,204060202,HETH,M,1,FIVE,AR,60.01590771,-152.8626473,20406,2,2,0.0,0.0,0.965189873,0.0,0.0,0.0,0.034810127,0.0,316.97676,155,150.0,0.0,1
LACL,2006,204060202,HETH,M,1,FIVE,AR,60.01590771,-152.8626473,20406,2,2,0.0,0.0,0.965189873,0.0,0.0,0.0,0.034810127,0.0,316.97676,155,150.0,0.0,1
KATM,2005,177610103,AMPI,M,1,FIVE,AP,58.76646099,-155.1796823,17761,1,3,0.0,0.0,0.0,0.92721519,0.0,0.0,0.0,0.07278481,899.60196,136,150.0,0.0,1
LACL,2004,213570204,DEJU,M,1,FIVE,LH,60.27107455,-153.9046858,21357,2,4,0.0,0.0,0.0,0.0,0.092948718,0.134615385,0.772435897,0.0,122.54484,143,50.0,0.0,1
KATM,2005,177610103,ROPT,M,1,FIVE,AP,58.76646099,-155.1796823,17761,1,3,0.0,0.0,0.0,0.92721519,0.0,0.0,0.0,0.07278481,899.60196,136,150.0,0.0,1
LACL,2004,213570204,YRWA,M,1,FIVE,LH,60.27107455,-153.9046858,21357,2,4,0.0,0.0,0.0,0.0,0.092948718,0.134615385,0.772435897,0.0,122.54484,143,50.0,0.0,1
LACL,2004,213570204,YRWA,M,1,FIVE,LH,60.27107455,-153.9046858,21357,2,4,0.0,0.0,0.0,0.0,0.092948718,0.134615385,0.772435897,0.0,122.54484,143,50.0,0.0,1
KATM,2005,182360103,AMRO,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,182360103,AMRO,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,182360103,FOSP,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,182360103,FOSP,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,182360103,GCSP,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,182360103,GCSP,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,182360103,WIWA,M,1,FIVE,AP,58.86301339,-155.7810796,18236,1,3,0.0,0.0,0.75399361,0.223642173,0.022364217,0.0,0.0,0.0,479.25228,134,150.0,0.8,2
KATM,2005,168030303,AMRO,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,DEJU,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,GCSP,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,WCSP,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,WCSP,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,WCSP,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,WIWA,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,WIWA,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
KATM,2005,168030303,YRWA,M,1,FIVE,AP,58.37045034,-155.4484148,16803,3,3,0.0,0.0,0.29903537,0.0,0.418006431,0.154340836,0.128617363,0.0,283.02204,134,150.0,0.0,1
LACL,2004,227890302,ATSP,M,1,FIVE,LH,60.77185295,-154.4132831,22789,3,2,0.159235669,0.0,0.474522293,0.194267516,0.0,0.0,0.0,0.171974522,717.2089143,145,150.0,0.0,2
LACL,2004,213640103,FOSP,M,1,FIVE,AR,60.40869442,-152.5597156,21364,1,3,0.0,0.0,0.952531646,0.0,0.0,0.0,0.047468354,0.0,379.88748,149,150.0,0.02,2
LACL,2004,213640103,GCSP,M,1,FIVE,AR,60.40869442,-152.5597156,21364,1,3,0.0,0.0,0.952531646,0.0,0.0,0.0,0.047468354,0.0,379.88748,149,150.0,0.02,2
LACL,2004,213640103,GCSP,M,1,FIVE,AR,60.40869442,-152.5597156,21364,1,3,0.0,0.0,0.952531646,0.0,0.0,0.0,0.047468354,0.0,379.88748,149,150.0,0.02,2
LACL,2004,227890302,SAVS,M,1,FIVE,LH,60.77185295,-154.4132831,22789,3,2,0.159235669,0.0,0.474522293,0.194267516,0.0,0.0,0.0,0.171974522,717.2089143,145,150.0,0.0,2
LACL,2004,227890302,SAVS,M,1,FIVE,LH,60.77185295,-154.4132831,22789,3,2,0.159235669,0.0,0.474522293,0.194267516,0.0,0.0,0.0,0.171974522,717.2089143,145,150.0,0.0,2
LACL,2006,201670201,WIWA,M,1,FIVE,AR,59.93534773,-152.9136184,20167,2,1,0.217252396,0.0,0.642172524,0.0,0.0,0.0,0.14057508,0.0,201.4728,156,150.0,0.45,1
LACL,2006,201670201,WIWA,M,1,FIVE,AR,59.93534773,-152.9136184,20167,2,1,0.217252396,0.0,0.642172524,0.0,0.0,0.0,0.14057508,0.0,201.4728,156,150.0,0.45,1
LACL,2004,211150203,AMRO,M,1,FIVE,AR,60.12323094,-154.3690902,21115,2,3,0.0,0.0,0.509493671,0.462025316,0.0,0.0,0.028481013,0.0,626.5404632,138,150.0,0.15,2
LACL,2004,211150203,FOSP,M,1,FIVE,AR,60.12323094,-154.3690902,21115,2,3,0.0,0.0,0.509493671,0.462025316,0.0,0.0,0.028481013,0.0,626.5404632,138,150.0,0.15,2
LACL,2004,211150203,FOSP,M,1,FIVE,AR,60.12323094,-154.3690902,21115,2,3,0.0,0.0,0.509493671,0.462025316,0.0,0.0,0.028481013,0.0,626.5404632,138,150.0,0.15,2
LACL,2004,211150203,GCSP,M,1,FIVE,AR,60.12323094,-154.3690902,21115,2,3,0.0,0.0,0.509493671,0.462025316,0.0,0.0,0.028481013,0.0,626.5404632,138,150.0,0.15,2
